[15/03/2026 10:58:36] Target: Non-Controller | Action/Path: /.well-known/appspecific/com.chrome.devtools.json | User: Guest | Duration: 0ms
[15/03/2026 10:58:36] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 7 | Duration: 20ms
[15/03/2026 10:58:36] Target: Song | Action/Path: Get | User: 7 | Duration: 0ms
[15/03/2026 10:58:36] Target: Song | Action/Path: Get | User: 7 | Duration: 0ms
[15/03/2026 10:58:48] Target: Song | Action/Path: update | User: 7 | Duration: 11ms
[15/03/2026 10:58:49] Target: Song | Action/Path: Get | User: 7 | Duration: 3ms
[15/03/2026 10:58:49] Target: Song | Action/Path: Get | User: 7 | Duration: 0ms
[15/03/2026 10:58:56] Target: User | Action/Path: GetCurrentUser | User: 7 | Duration: 0ms
[15/03/2026 10:58:36] Target: Non-Controller | Action/Path: /activityHub | User: 7 | Duration: 45588ms
[15/03/2026 10:59:22] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 7 | Duration: 0ms
[15/03/2026 11:01:14] Target: User | Action/Path: GetCurrentUser | User: 7 | Duration: 0ms
[15/03/2026 11:01:35] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 7 | Duration: 6ms
[15/03/2026 11:01:37] Target: Non-Controller | Action/Path: /activityHub | User: 7 | Duration: 41ms
[15/03/2026 11:01:37] Target: Non-Controller | Action/Path: /.well-known/appspecific/com.chrome.devtools.json | User: Guest | Duration: 0ms
[15/03/2026 11:01:42] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 7 | Duration: 0ms
[15/03/2026 11:01:42] Target: Song | Action/Path: Get | User: 7 | Duration: 69ms
[15/03/2026 11:01:42] Target: Song | Action/Path: Get | User: 7 | Duration: 69ms
[15/03/2026 11:01:45] Target: User | Action/Path: GetCurrentUser | User: 7 | Duration: 57ms
[15/03/2026 11:01:42] Target: Non-Controller | Action/Path: /activityHub | User: 7 | Duration: 30918ms
[15/03/2026 11:05:34] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 7 | Duration: 5ms
[15/03/2026 11:05:34] Target: Non-Controller | Action/Path: /activityHub | User: 7 | Duration: 1279ms
[15/03/2026 11:05:35] Target: Non-Controller | Action/Path: /.well-known/appspecific/com.chrome.devtools.json | User: Guest | Duration: 0ms
[15/03/2026 11:05:35] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 7 | Duration: 1ms
[15/03/2026 11:05:35] Target: Song | Action/Path: Get | User: 7 | Duration: 37ms
[15/03/2026 11:05:35] Target: Song | Action/Path: Get | User: 7 | Duration: 36ms
[15/03/2026 11:05:37] Target: User | Action/Path: GetCurrentUser | User: 7 | Duration: 11ms
[15/03/2026 11:05:48] Target: User | Action/Path: update | User: 7 | Duration: 113ms
[15/03/2026 11:05:58] Target: User | Action/Path: GetCurrentUser | User: 7 | Duration: 0ms
[15/03/2026 11:06:26] Target: Loggin | Action/Path: Login | User: Guest | Duration: 27ms
[15/03/2026 11:06:26] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 6 | Duration: 0ms
[15/03/2026 11:06:26] Target: Song | Action/Path: Get | User: 6 | Duration: 43ms
[15/03/2026 11:06:26] Target: Song | Action/Path: Get | User: 6 | Duration: 0ms
[15/03/2026 11:06:32] Target: User | Action/Path: GetAll | User: 6 | Duration: 26ms
[15/03/2026 11:06:26] Target: Non-Controller | Action/Path: /activityHub | User: 6 | Duration: 5221ms
[15/03/2026 11:09:16] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 7 | Duration: 4ms
[15/03/2026 11:09:18] Target: User | Action/Path: GetCurrentUser | User: 7 | Duration: 20ms
[15/03/2026 11:09:28] Target: User | Action/Path: update | User: 7 | Duration: 82ms
[15/03/2026 11:09:36] Target: User | Action/Path: GetAll | User: 6 | Duration: 23ms
[15/03/2026 11:10:14] Target: Loggin | Action/Path: GoogleLogin | User: Guest | Duration: 489ms
[15/03/2026 11:10:15] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 11 | Duration: 0ms
[15/03/2026 11:10:15] Target: Song | Action/Path: Get | User: 11 | Duration: 10ms
[15/03/2026 11:10:15] Target: Song | Action/Path: Get | User: 11 | Duration: 0ms
[15/03/2026 11:10:37] Target: Loggin | Action/Path: GoogleLogin | User: Guest | Duration: 20ms
[15/03/2026 11:10:37] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 12 | Duration: 0ms
[15/03/2026 11:10:37] Target: Song | Action/Path: Get | User: 12 | Duration: 3ms
[15/03/2026 11:10:37] Target: Song | Action/Path: Get | User: 12 | Duration: 0ms
[15/03/2026 11:10:43] Target: User | Action/Path: GetCurrentUser | User: 12 | Duration: 0ms
[15/03/2026 11:10:54] Target: User | Action/Path: GetAll | User: 6 | Duration: 0ms
[15/03/2026 11:11:20] Target: Loggin | Action/Path: GoogleLogin | User: Guest | Duration: 3ms
[15/03/2026 11:11:20] Target: Song | Action/Path: Get | User: 12 | Duration: 1ms
[15/03/2026 11:11:20] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 12 | Duration: 0ms
[15/03/2026 11:11:20] Target: Song | Action/Path: Get | User: 12 | Duration: 0ms
[15/03/2026 11:11:26] Target: Song | Action/Path: Create | User: 12 | Duration: 16ms
[15/03/2026 11:11:26] Target: Song | Action/Path: Get | User: 12 | Duration: 0ms
[15/03/2026 11:11:26] Target: Song | Action/Path: Get | User: 12 | Duration: 0ms
[15/03/2026 11:11:26] Target: Song | Action/Path: Get | User: 12 | Duration: 0ms
[15/03/2026 11:11:39] Target: User | Action/Path: GetCurrentUser | User: 12 | Duration: 0ms
[15/03/2026 11:11:20] Target: Non-Controller | Action/Path: /activityHub | User: 12 | Duration: 86962ms
[15/03/2026 11:12:58] Target: Loggin | Action/Path: GoogleLogin | User: Guest | Duration: 6ms
[15/03/2026 11:12:58] Target: Song | Action/Path: Get | User: 12 | Duration: 0ms
[15/03/2026 11:12:58] Target: Non-Controller | Action/Path: /activityHub/negotiate | User: 12 | Duration: 0ms
[15/03/2026 11:12:58] Target: Song | Action/Path: Get | User: 12 | Duration: 0ms
